date,year,month_num,month_text,day,mean_temp,max_temp,min_temp
1/1/08,2008,1,Jan,1,13.5,17,10
2/1/08,2008,1,Jan,2,13,16,10
3/1/08,2008,1,Jan,3,14.5,18,11
4/1/08,2008,1,Jan,4,17,20,14
5/1/08,2008,1,Jan,5,17,21,13
6/1/08,2008,1,Jan,6,19.5,22,17
7/1/08,2008,1,Jan,7,20,24,16
8/1/08,2008,1,Jan,8,21.5,24,19
9/1/08,2008,1,Jan,9,22.5,25,20
10/1/08,2008,1,Jan,10,23,25,21
11/1/08,2008,1,Jan,11,24,27,21
12/1/08,2008,1,Jan,12,22.5,26,19
13/1/08,2008,1,Jan,13,19.5,23,16
14/1/08,2008,1,Jan,14,14,17,11
15/1/08,2008,1,Jan,15,15,17,13
16/1/08,2008,1,Jan,16,14,17,11
17/1/08,2008,1,Jan,17,11.5,13,10
18/1/08,2008,1,Jan,18,14,18,10
19/1/08,2008,1,Jan,19,18.5,21,16
20/1/08,2008,1,Jan,20,20,23,17
21/1/08,2008,1,Jan,21,17,19,15
22/1/08,2008,1,Jan,22,16,18,14
23/1/08,2008,1,Jan,23,16.5,19,14
24/1/08,2008,1,Jan,24,15,19,11
25/1/08,2008,1,Jan,25,12,13,11
26/1/08,2008,1,Jan,26,11.5,13,10
27/1/08,2008,1,Jan,27,9.5,10,9
28/1/08,2008,1,Jan,28,11.5,14,9
29/1/08,2008,1,Jan,29,11,12,10
30/1/08,2008,1,Jan,30,10,12,8
31/1/08,2008,1,Jan,31,8.5,10,7
1/2/08,2008,2,Feb,1,9.5,11,8
2/2/08,2008,2,Feb,2,8,9,7
3/2/08,2008,2,Feb,3,10.5,14,7
4/2/08,2008,2,Feb,4,11.5,14,9
5/2/08,2008,2,Feb,5,12,13,11
6/2/08,2008,2,Feb,6,11,13,9
7/2/08,2008,2,Feb,7,9.5,11,8
8/2/08,2008,2,Feb,8,11,13,9
9/2/08,2008,2,Feb,9,11,14,8
10/2/08,2008,2,Feb,10,12,13,11
11/2/08,2008,2,Feb,11,10,12,8
12/2/08,2008,2,Feb,12,11,14,8
13/2/08,2008,2,Feb,13,12,14,10
14/2/08,2008,2,Feb,14,13,14,12
15/2/08,2008,2,Feb,15,13,15,11
16/2/08,2008,2,Feb,16,14,16,12
17/2/08,2008,2,Feb,17,14.5,16,13
18/2/08,2008,2,Feb,18,16,19,13
19/2/08,2008,2,Feb,19,16.5,19,14
20/2/08,2008,2,Feb,20,16,19,13
21/2/08,2008,2,Feb,21,17.5,21,14
22/2/08,2008,2,Feb,22,18.5,20,17
23/2/08,2008,2,Feb,23,19,21,17
